years_forcing,months_forcing,precipforc_1,precipforc_2,tsaforc_1,tsaforc_2
1658,6,0.029327436143337,0.029327436143337,8.02350911617946,8.02350911617946
1658,7,0.0304004164889913,0.0304004164889913,10.8550569728357,10.8550569728357
1658,8,0.029285284173245,0.029285284173245,8.02350911617948,8.02350911617948
1658,9,0.03178118670082,0.03178118670082,0.287576507731957,0.287576507731957
1658,10,0.0291652734287679,0.0291652734287679,-10.2799039573717,-10.2799039573717
1658,11,0.0307696837442759,0.0307696837442759,-20.8473844224754,-20.8473844224754
1658,12,0.0307206278196627,0.0307206278196627,-28.583317030923,-28.583317030923
1659,1,0.0310530144905004,0.0310530144905004,-31.3801344255665,-31.3801344255665
1659,2,0.0300529123890622,0.0300529123890622,-28.5552898834085,-28.5552898834085
1659,3,0.029830410665806,0.029830410665806,-20.8376710707492,-20.8376710707492
1659,4,0.0318675010962321,0.0318675010962321,-10.295207715932,-10.295207715932
1659,5,0.0305067924587548,0.0305067924587548,0.247255638885218,0.247255638885218
1659,6,0.0301785599124712,0.0301785599124712,7.96487445154448,7.96487445154448
1659,7,0.0290525399932764,0.0290525399932764,10.7897189937025,10.7897189937025
1659,8,0.0303874423222641,0.0303874423222641,7.9648744515445,7.9648744515445
1659,9,0.0302660884051671,0.0302660884051671,0.247255638885228,0.247255638885228
1659,10,0.0306456410478425,0.0306456410478425,-10.295207715932,-10.295207715932
1659,11,0.0302657705390536,0.0302657705390536,-20.8376710707492,-20.8376710707492
1659,12,0.0303202935258682,0.0303202935258682,-28.5552898834085,-28.5552898834085
1660,1,0.0320251215608088,0.0320251215608088,-31.3558275996266,-31.3558275996266
1660,2,0.0303779991798589,0.0303779991798589,-28.5286599780654,-28.5286599780654
1660,3,0.0299252389086038,0.0299252389086038,-20.8046943944466,-20.8046943944466
1660,4,0.0320803193832709,0.0320803193832709,-10.2535611892666,-10.2535611892666
1660,5,0.031657709138988,0.031657709138988,0.297572015913394,0.297572015913394
1660,6,0.031506967935476,0.031506967935476,8.02153759953222,8.02153759953222
1660,7,0.0306384969425812,0.0306384969425812,10.8487052210934,10.8487052210934
1660,8,0.0312920873550863,0.0312920873550863,8.02153759953224,8.02153759953224
1660,9,0.0322976056369487,0.0322976056369487,0.297572015913405,0.297572015913405
1660,10,0.0323119359831405,0.0323119359831405,-10.2535611892666,-10.2535611892666
1660,11,0.0317952784915611,0.0317952784915611,-20.8046943944466,-20.8046943944466
1660,12,0.0320574082617808,0.0320574082617808,-28.5286599780654,-28.5286599780654
1661,1,0.0305576938252023,0.0305576938252023,-31.2468576994447,-31.2468576994447
1661,2,0.0302971211554781,0.0302971211554781,-28.4181332168077,-28.4181332168077
1661,3,0.031797212985165,0.031797212985165,-20.6899142096294,-20.6899142096294
1661,4,0.0293493877413211,0.0293493877413211,-10.1329707198141,-10.1329707198141
1661,5,0.0305576008787066,0.0305576008787066,0.423972770001104,0.423972770001104
1661,6,0.0308414203061679,0.0308414203061679,8.15219177717938,8.15219177717938
1661,7,0.0307482756816613,0.0307482756816613,10.9809162598164,10.9809162598164
1661,8,0.0299564865453583,0.0299564865453583,8.15219177717939,8.15219177717939
1661,9,0.0310621306944586,0.0310621306944586,0.423972770001114,0.423972770001114
1661,10,0.0306955948682296,0.0306955948682296,-10.1329707198141,-10.1329707198141
1661,11,0.0290616943405495,0.0290616943405495,-20.6899142096294,-20.6899142096294
1661,12,0.0304300202568189,0.0304300202568189,-28.4181332168077,-28.4181332168077
1662,1,0.0287679480532975,0.0287679480532975,-31.6996340921475,-31.6996340921475
1662,2,0.0282441688912543,0.0282441688912543,-28.8531322859085,-28.8531322859085
1662,3,0.0293414881579564,0.0293414881579564,-21.0763447274269,-21.0763447274269
1662,4,0.0292087916105468,0.0292087916105468,-10.4530553627062,-10.4530553627062
1662,5,0.0296110442390038,0.0296110442390038,0.170234002014407,0.170234002014407
1662,6,0.0292951326634679,0.0292951326634679,7.94702156049602,7.94702156049602
1662,7,0.0281113782474961,0.0281113782474961,10.7935233667351,10.7935233667351
1662,8,0.0291256299031543,0.0291256299031543,7.94702156049604,7.94702156049604
1662,9,0.0294757652361786,0.0294757652361786,0.170234002014418,0.170234002014418
1662,10,0.0303551182509497,0.0303551182509497,-10.4530553627062,-10.4530553627062
1662,11,0.0296576003939094,0.0296576003939094,-21.0763447274268,-21.0763447274268
1662,12,0.0286124701341053,0.0286124701341053,-28.8531322859084,-28.8531322859084
1663,1,0.0301229416326919,0.0301229416326919,-31.2220942007679,-31.2220942007679
1663,2,0.0301637209422278,0.0301637209422278,-28.4507132139955,-28.4507132139955
1663,3,0.0300479010852209,0.0300479010852209,-20.8791595510029,-20.8791595510029
1663,4,0.0292077106522348,0.0292077106522348,-10.536224901238,-10.536224901238
1663,5,0.0298416791275688,0.0298416791275688,-0.193290251473041,-0.193290251473041
1663,6,0.029931421953369,0.029931421953369,7.37826341151953,7.37826341151953
1663,7,0.0303216198139856,0.0303216198139856,10.1496443982919,10.1496443982919
1663,8,0.0300858235743142,0.0300858235743142,7.37826341151955,7.37826341151955
1663,9,0.0312169404751888,0.0312169404751888,-0.193290251473032,-0.193290251473032
1663,10,0.0297639025303147,0.0297639025303147,-10.536224901238,-10.536224901238
1663,11,0.0296739213595242,0.0296739213595242,-20.8791595510029,-20.8791595510029
1663,12,0.0306999757303466,0.0306999757303466,-28.4507132139955,-28.4507132139955
1664,1,0.0303983388417286,0.0303983388417286,-31.1686066606743,-31.1686066606743
1664,2,0.0289068875459945,0.0289068875459945,-28.3820142384799,-28.3820142384799
1664,3,0.0293734909841387,0.0293734909841387,-20.7689021610583,-20.7689021610583
1664,4,0.0303631674327271,0.0303631674327271,-10.3691976614423,-10.3691976614423
1664,5,0.0304736140852252,0.0304736140852252,0.0305068381737641,0.0305068381737641
1664,6,0.0314615102304714,0.0314615102304714,7.64361891559538,7.64361891559538
1664,7,0.028511897035999,0.028511897035999,10.4302113377898,10.4302113377898
1664,8,0.0313790470912841,0.0313790470912841,7.64361891559539,7.64361891559539
1664,9,0.029724304063752,0.029724304063752,0.030506838173773,0.030506838173773
1664,10,0.0312355515742046,0.0312355515742046,-10.3691976614423,-10.3691976614423
1664,11,0.0314201924738035,0.0314201924738035,-20.7689021610583,-20.7689021610583
1664,12,0.0288591281765961,0.0288591281765961,-28.3820142384799,-28.3820142384799
1665,1,0.0286133652391537,0.0286133652391537,-30.7336305602368,-30.7336305602368
1665,2,0.0286457707019046,0.0286457707019046,-28.02572486983,-28.02572486983
1665,3,0.0296234917035207,0.0296234917035207,-20.6275889415335,-20.6275889415335
1665,4,0.0299936365391557,0.0299936365391557,-10.5215473228301,-10.5215473228301
1665,5,0.0271926648539983,0.0271926648539983,-0.415505704126812,-0.415505704126812
1665,6,0.0276493880931312,0.0276493880931312,6.98263022416966,6.98263022416966
1665,7,0.0288475992304897,0.0288475992304897,9.69053591457654,9.69053591457654
1665,8,0.0272708549081703,0.0272708549081703,6.98263022416968,6.98263022416968
1665,9,0.0276293934101645,0.0276293934101645,-0.415505704126803,-0.415505704126803
1665,10,0.0290832979865982,0.0290832979865982,-10.5215473228301,-10.5215473228301
1665,11,0.0277440684323733,0.0277440684323733,-20.6275889415335,-20.6275889415335
1665,12,0.02924858646359,0.02924858646359,-28.0257248698299,-28.0257248698299
1666,1,0.0273052573511386,0.0273052573511386,-30.1963624010612,-30.1963624010612
1666,2,0.0278559147277062,0.0278559147277062,-27.5342697052011,-27.5342697052011
1666,3,0.0272897265397949,0.0272897265397949,-20.2612972056532,-20.2612972056532
1666,4,0.0276485173364992,0.0276485173364992,-10.3262320102452,-10.3262320102452
1666,5,0.0274237493001862,0.0274237493001862,-0.391166814837257,-0.391166814837257
1666,6,0.0268503103720259,0.0268503103720259,6.88180568471062,6.88180568471062
1666,7,0.0288321248847603,0.0288321248847603,9.54389838057074,9.54389838057074
1666,8,0.0265842873281341,0.0265842873281341,6.88180568471063,6.88180568471063
1666,9,0.027700072456307,0.027700072456307,-0.391166814837247,-0.391166814837247
1666,10,0.0283874989337753,0.0283874989337753,-10.3262320102452,-10.3262320102452
