"atm_del_14C_20,000BP_to_2100_AD_RCP85_RCP45",,
Cal_BP,D14C_RCP85_per_mil,D14C_RCP45_per_mil
11120,155,155
11115,154,154
11110,152.9,152.9
11105,153.1,153.1
11100,154,154
11095,154.4,154.4
11090,154.1,154.1
11085,154.5,154.5
11080,155,155
11075,155.4,155.4
11070,156.8,156.8
11065,159,159
11060,160.6,160.6
11055,160.5,160.5
11050,159.9,159.9
11045,159.2,159.2
11040,158.5,158.5
11035,157.1,157.1
11030,155.1,155.1
11025,153.3,153.3
11020,151.7,151.7
11015,150.4,150.4
11010,149.7,149.7
11005,150.3,150.3
11000,150.9,150.9
10995,150.8,150.8
10990,150.7,150.7
10985,150.3,150.3
10980,149.6,149.6
10975,148.3,148.3
10970,146.8,146.8
10965,145.2,145.2
10960,143.8,143.8
10955,142.1,142.1
10950,139.7,139.7
10945,137.3,137.3
10940,135.8,135.8
10935,135.2,135.2
10930,134.3,134.3
10925,132.9,132.9
10920,131.2,131.2
10915,129.8,129.8
10910,129.1,129.1
10905,128.6,128.6
10900,128.1,128.1
10895,127.7,127.7
10890,127.3,127.3
10885,127,127
10880,127.2,127.2
10875,127.5,127.5
10870,128.3,128.3
10865,129.5,129.5
10860,130.6,130.6
10855,130.1,130.1
10850,127.8,127.8
10845,126.2,126.2
10840,125.1,125.1
10835,124.3,124.3
10830,123.7,123.7
10825,123.2,123.2
10820,122.6,122.6
10815,122.1,122.1
10810,121.6,121.6
10805,121.2,121.2
10800,120.9,120.9
10795,120.8,120.8
10790,121.8,121.8
10785,122.8,122.8
10780,122.7,122.7
10775,122.1,122.1
10770,122.1,122.1
10765,122.2,122.2
10760,122.3,122.3
10755,122.6,122.6
10750,122.8,122.8
10745,122.9,122.9
10740,123.2,123.2
10735,123.4,123.4
10730,123.5,123.5
10725,123.4,123.4
10720,123.3,123.3
10715,123.3,123.3
10710,123.8,123.8
10705,124.1,124.1
10700,124.4,124.4
10695,125.1,125.1
10690,125.2,125.2
10685,125,125
10680,125,125
10675,124.9,124.9
10670,124.5,124.5
10665,124.1,124.1
10660,124.1,124.1
10655,124.5,124.5
10650,125.5,125.5
10645,126.1,126.1
10640,126.1,126.1
10635,125.3,125.3
10630,123.8,123.8
10625,122.3,122.3
10620,120.5,120.5
10615,118.4,118.4
10610,116.9,116.9
10605,118,118
10600,118.5,118.5
10595,118.1,118.1
10590,117.8,117.8
10585,119.4,119.4
10580,120.2,120.2
10575,120.9,120.9
10570,122.2,122.2
10565,122.8,122.8
10560,123,123
10555,123.1,123.1
10550,122.9,122.9
10545,122.5,122.5
10540,121.9,121.9
10535,121,121
10530,119.6,119.6
10525,118.8,118.8
10520,118.9,118.9
10515,119.4,119.4
10510,120.4,120.4
10505,120.9,120.9
10500,121.4,121.4
10495,122,122
10490,122.8,122.8
10485,123.4,123.4
10480,123.8,123.8
10475,124,124
10470,123.2,123.2
10465,121.4,121.4
10460,119.7,119.7
10455,117.8,117.8
10450,115.6,115.6
10445,114.8,114.8
10440,115.4,115.4
10435,116.1,116.1
10430,116.2,116.2
10425,116.4,116.4
10420,116.3,116.3
10415,116.1,116.1
10410,116.6,116.6
10405,117,117
10400,116.9,116.9
10395,116.5,116.5
10390,116.4,116.4
10385,116.1,116.1
10380,115.7,115.7
10375,115.3,115.3
10370,115.6,115.6
10365,115.8,115.8
10360,114.8,114.8
10355,113.3,113.3
10350,111.8,111.8
10345,111,111
10340,111.2,111.2
10335,111.1,111.1
10330,110,110
10325,109,109
10320,107.9,107.9
10315,106.4,106.4
10310,104.5,104.5
10305,104,104
10300,105.1,105.1
10295,106.1,106.1
10290,106.3,106.3
10285,106,106
10280,105.7,105.7
10275,105.8,105.8
10270,105.9,105.9
10265,106.1,106.1
10260,106,106
10255,106.1,106.1
10250,107.5,107.5
10245,109.9,109.9
10240,111.7,111.7
10235,113.4,113.4
10230,115.5,115.5
10225,117.6,117.6
10220,118.7,118.7
10215,118.6,118.6
10210,118.1,118.1
10205,118.1,118.1
10200,118.7,118.7
10195,120.2,120.2
10190,121.2,121.2
10185,121.9,121.9
10180,122.8,122.8
10175,123.9,123.9
10170,125.1,125.1
10165,125.2,125.2
10160,125.1,125.1
10155,126.5,126.5
10150,127.7,127.7
10145,127.7,127.7
10140,126.9,126.9
10135,126.2,126.2
10130,126.2,126.2
10125,125.9,125.9
10120,125.7,125.7
10115,127.2,127.2
10110,128,128
10105,127.8,127.8
10100,126.7,126.7
10095,125.1,125.1
10090,124.3,124.3
10085,123.4,123.4
10080,122.5,122.5
10075,121.8,121.8
10070,120.8,120.8
10065,118.9,118.9
10060,116,116
10055,114.2,114.2
10050,113,113
10045,112.3,112.3
10040,113.7,113.7
10035,114.6,114.6
10030,113.8,113.8
10025,112,112
10020,110.2,110.2
10015,109.5,109.5
10010,110,110
10005,110.3,110.3
10000,110.3,110.3
9995,109.2,109.2
9990,106.9,106.9
9985,104.4,104.4
9980,102.1,102.1
9975,101.4,101.4
9970,101,101
9965,101.3,101.3
9960,101.6,101.6
9955,101.5,101.5
9950,101.3,101.3
9945,101,101
9940,100.8,100.8
9935,100.6,100.6
9930,100.7,100.7
9925,100.5,100.5
9920,100.7,100.7
9915,101.4,101.4
9910,102.2,102.2
9905,103.6,103.6
9900,105,105
9895,104.5,104.5
9890,104.7,104.7
9885,105.9,105.9
9880,105.8,105.8
9875,104.2,104.2
9870,102.7,102.7
9865,103.1,103.1
9860,102.7,102.7
9855,102.5,102.5
9850,101.4,101.4
9845,99.7,99.7
9840,98.8,98.8
9835,98.1,98.1
9830,97.6,97.6
9825,97,97
9820,96.4,96.4
9815,96.2,96.2
9810,95.5,95.5
9805,94.7,94.7
9800,93.8,93.8
9795,93.4,93.4
9790,92.9,92.9
9785,92.5,92.5
9780,92.1,92.1
9775,91.8,91.8
9770,92.3,92.3
9765,92.3,92.3
9760,91.9,91.9
9755,91.2,91.2
9750,90.3,90.3
9745,89.6,89.6
9740,89.8,89.8
